$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
NETLIST INC                                          -0.1396837
NETLOGIC MICROSYSTEMS INC                            -0.1396837
NETSCAPE COMMUNICATIONS CORP                         -0.1396837
NETSCOUT SYSTEMS INC                                 -0.1396837
Netskope Inc                                         -0.1396837
NETSOL TECHNOLOGIES INC                              -0.1396837
NETSTAR INC                                          -0.1396837
NETSUITE INC                                         -0.1396837
NETWORK CONNECTION INC                               -0.1396837
NETWORK SYSTEMS CORP                                 -0.1396837
NETWORTH INC                                         -0.1396837
NETZERO INC                                          -0.1396837
Neutron Holdings, Inc.                               -0.1396837
NEW DIMENSION SOFTWARE LTD                           -0.1396837
NEW RELIC, INC.                                      -0.1396837
NEXAR TECHNOLOGIES INC                               -0.1396837
NEXGEN INC                                           -0.1396837
NEXSAN CORP                                          -0.1396837
NEXT LEVEL COMMUNICATIONS INC                        -0.1396837
NEXTGEN HEALTHCARE, INC.                             -0.1396837
NEXTNAV INC.                                         -0.1396837
NEXX SYSTEMS INC                                     -0.1396837
NICE Ltd.                                            -0.1396837
Nimble Storage Inc                                   -0.1396837
NLIGHT, INC.                                         -0.1396837
NOKIA CORP                                           -0.1396837
NORTECH SYSTEMS INC                                  -0.1396837
NORTEL NETWORKS CORP                                 -0.1396837
NORTHROP GRUMMAN SYSTEMS CORP                        -0.1396837
NOTIFY TECHNOLOGY CORP                               -0.1396837
NOVELL INC                                           -0.1396837
NS8 CORP                                             -0.1396837
Nuance Communications, Inc.                          -0.1396837
Nutanix, Inc.                                        -0.1396837
NVIDIA CORP                                          -0.1396837
NWH INC                                              -0.1396837
NX NETWORKS INC                                      -0.1396837
NXP Semiconductors N.V.                              -0.1396837
O2MICRO INTERNATIONAL LTD                            -0.1396837
OAK INDUSTRIES INC                                   -0.1396837
OBJECTSPACE INC                                      -0.1396837
OCLARO, INC.                                         -0.1396837
Odyssey Semiconductor Technologies, Inc.             -0.1396837
Okta, Inc.                                           -0.1396837
OMM INC                                              -0.1396837
OMNICELL, INC.                                       -0.1396837
OMNIVISION TECHNOLOGIES INC                          -0.1396837
OMTOOL LTD                                           -0.1396837
ON SEMICONDUCTOR CORP                                -0.1396837
ON2 TECHNOLOGIES, INC.                               -0.1396837
ON24 INC.                                            -0.1396837
ON4 COMMUNICATIONS INC.                              -0.1396837
ONE STOP SYSTEMS, INC.                               -0.1396837
OneSpan Inc.                                         -0.1396837
OneStream, Inc.                                      -0.1396837
ONI SYSTEMS CORP                                     -0.1396837
Onstream Media CORP                                  -0.1396837
OPEN MARKET INC                                      -0.1396837
OPEN TEXT CORP                                       -0.1396837
OPENTV CORP                                          -0.1396837
Opera Ltd                                            -0.1396837
OPNET TECHNOLOGIES INC                               -0.1396837
OPNEXT INC                                           -0.1396837
OPOWER, INC.                                         -0.1396837
OPTI INC                                             -0.1396837
Optiv Inc.                                           -0.1396837
ORACLE CORP                                          -0.1396837
Oracle Systems                                       -0.1396837
ORBIT INTERNATIONAL CORP                             -0.1396837
OSI SYSTEMS INC                                      -0.1396837
OVERLAND STORAGE INC                                 -0.1396837
OVID TECHNOLOGIES INC                                -0.1396837
PAGEFLEX INC.                                        -0.1396837
PagerDuty, Inc.                                      -0.1396837
Palantir Technologies Inc.                           -0.1396837
Palladyne AI Corp.                                   -0.1396837
PALM INC                                             -0.1396837
Palo Alto Networks Inc                               -0.1396837
PaperClip, Inc.                                      -0.1396837
PAR TECHNOLOGY CORP                                  -0.1396837
PARADIGM GEOPHYSICAL LTD                             -0.1396837
Paradigm Ltd.                                        -0.1396837
PARADIGM4 INC                                        -0.1396837
PARETEUM Corp                                        -0.1396837
PARLEX CORP                                          -0.1396837
PARSONS CORP                                         -0.1396837
PASSUR Aerospace, Inc.                               -0.1396837
Patriot Software Co                                  -0.1396837
Paycom Software, Inc.                                -0.1396837
PCD INC                                              -0.1396837
PDF SOLUTIONS INC                                    -0.1396837
PEC SOLUTIONS INC                                    -0.1396837
Penguin Solutions, Inc.                              -0.1396837
People Inc                                           -0.1396837
PEOPLESOFT INC                                       -0.1396837
Peraso Inc.                                          -0.1396837
PEREGRINE SEMICONDUCTOR CORP                         -0.1396837
PEREGRINE SYSTEMS INC                                -0.1396837
Perfect Corp.                                        -0.1396837
PERFICIENT INC                                       -0.1396837
Perion Network Ltd.                                  -0.1396837
PERSONIFY INC                                        -0.1396837
PERVASIVE SOFTWARE INC                               -0.1396837
PFO Global, Inc.                                     -0.1396837
PHOENIX INTERNATIONAL LTD INC                        -0.1396837
PHOENIX TECHNOLOGIES LTD                             -0.1396837
PHOTRONICS INC                                       -0.1396837
PI HOLDINGS INC                                      -0.1396837
PICIS INC                                            -0.1396837
PINNACLE DATA SYSTEMS INC                            -0.1396837
PINTEREST, INC.                                      -0.1396837
Pivotal Software, Inc.                               -0.1396837
PIXELWORKS, INC                                      -0.1396837
PLANAR SYSTEMS INC                                   -0.1396837
Planet Labs PBC                                      -0.1396837
PLAYSTUDIOS, Inc.                                    -0.1396837
PLEXUS CORP                                          -0.1396837
Pluralsight, Inc.                                    -0.1396837
Plus Inc.                                            -0.1396837
PLX TECHNOLOGY INC                                   -0.1396837
PMC SIERRA INC                                       -0.1396837
PNY TECHNOLOGIES INC                                 -0.1396837
PodcastOne, Inc.                                     -0.1396837
POET TECHNOLOGIES INC.                               -0.1396837
PointClickCare Corp.                                 -0.1396837
POLYCOM INC                                          -0.1396837
Porch Group, Inc.                                    -0.1396837
PORTAL SOFTWARE INC                                  -0.1396837
POSITION INC                                         -0.1396837
POWER DESIGNS INC                                    -0.1396837
POWER INTEGRATIONS INC                               -0.1396837
POWER ONE INC                                        -0.1396837
POWER PARAGON INC                                    -0.1396837
Powerfleet, Inc.                                     -0.1396837
POWERSOFT CORP                                       -0.1396837
POWERWAVE TECHNOLOGIES INC                           -0.1396837
PRECISE SOFTWARE SOLUTIONS LTD                       -0.1396837
PRECISION SYSTEMS INC                                -0.1396837
Preventia, Inc.                                      -0.1396837
PRIMARK CORP                                         -0.1396837
PRINCETON MEDIA GROUP INC                            -0.1396837
PRINTRONIX INC                                       -0.1396837
PRINTWARE INC                                        -0.1396837
PROCORE TECHNOLOGIES, INC.                           -0.1396837
Professional Diversity Network, Inc.                 -0.1396837
PROS Holdings, Inc.                                  -0.1396837
Prove Identity, Inc.                                 -0.1396837
PROXIM CORP                                          -0.1396837
PROXIM WIRELESS CORP                                 -0.1396837
PROXIMA CORP                                         -0.1396837
PSC INC                                              -0.1396837
PSINET INC                                           -0.1396837
PTC INC.                                             -0.1396837
PubMatic, Inc.                                       -0.1396837
PULSE ELECTRONICS CORP                               -0.1396837
Pulse Network, Inc.                                  -0.1396837
Q2 Holdings, Inc.                                    -0.1396837
QAD INC                                              -0.1396837
QLIK TECHNOLOGIES INC                                -0.1396837
QLOGIC CORP                                          -0.1396837
Qorvo, Inc.                                          -0.1396837
QUADRAMED CORP                                       -0.1396837
QUALSTAR CORP                                        -0.1396837
QUALYS, INC.                                         -0.1396837
Quantinuum Inc.                                      -0.1396837
Quantum Computing Inc.                               -0.1396837
QUARTERDECK CORP                                     -0.1396837
QUEST SOFTWARE INC                                   -0.1396837
QUICKLOGIC Corp                                      -0.1396837
QUINTUS CORP                                         -0.1396837
Qumu Corp                                            -0.1396837
RACKSPACE HOSTING, INC.                              -0.1396837
Rackspace Technology, Inc.                           -0.1396837
RADCOM LTD                                           -0.1396837
RADIANT SYSTEMS INC                                  -0.1396837
RADISYS CORP                                         -0.1396837
RADYNE CORP                                          -0.1396837
Rally Software Development Corp                      -0.1396837
RAMBUS INC                                           -0.1396837
RAMP CORP                                            -0.1396837
RAMP NETWORKS INC                                    -0.1396837
RAMTEK CORP                                          -0.1396837
RAND WORLDWIDE INC                                   -0.1396837
Rank One Computing Corp                              -0.1396837
Rapid7, Inc.                                         -0.1396837
RAPTOR SYSTEMS INC                                   -0.1396837
RAYTHEON CO                                          -0.1396837
Rayton Solar Inc.                                    -0.1396837
RAZORFISH INC                                        -0.1396837
RDA CORP                                             -0.1396837
RDC INTERNATIONAL INC                                -0.1396837
Reachout Technology Corp.                            -0.1396837
RealD Inc.                                           -0.1396837
REALNETWORKS INC                                     -0.1396837
RealPage, Inc.                                       -0.1396837
RED HAT INC                                          -0.1396837
Red Violet, Inc.                                     -0.1396837
Rekor Systems, Inc.                                  -0.1396837
REMEDY CORP                                          -0.1396837
RENAISSANCE LEARNING INC                             -0.1396837
Renesas Electronics America Inc.                     -0.1396837
REPCO INC                                            -0.1396837
Resonant Inc                                         -0.1396837
Resonate Blends, Inc.                                -0.1396837
RESONATE INC                                         -0.1396837
RESPONSYS INC                                        -0.1396837
Retail Pro, Inc.                                     -0.1396837
REXON INC                                            -0.1396837
REYNOLDS & REYNOLDS CO                               -0.1396837
RF MICRO DEVICES INC                                 -0.1396837
RFI TECHNOLOGIES, INC.                               -0.1396837
Ribbon Communications Inc.                           -0.1396837
Rigetti Computing, Inc.                              -0.1396837
RIT TECHNOLOGIES LTD                                 -0.1396837
Riverbed Technology, Inc.                            -0.1396837
RIVEX TECHNOLOGY CORP.                               -0.1396837
Roblox Corp                                          -0.1396837
Rocket Fuel Inc.                                     -0.1396837
ROSETTA STONE INC                                    -0.1396837
ROSS TECHNOLOGY INC                                  -0.1396837
RPM ADVANTAGE, INC.                                  -0.1396837
Rubicon Technology, Inc.                             -0.1396837
Rubrik, Inc.                                         -0.1396837
RUCKUS WIRELESS INC                                  -0.1396837
RVISION, INC                                         -0.1396837
SABA SOFTWARE INC                                    -0.1396837
Sabre Corp                                           -0.1396837
SAFENET INC                                          -0.1396837
Sailpoint Technologies Holdings, Inc.                -0.1396837
SailPoint, Inc.                                      -0.1396837
Salesforce, Inc.                                     -0.1396837
Samsara Inc.                                         -0.1396837
SAN HOLDINGS INC                                     -0.1396837
SAND TECHNOLOGY INC                                  -0.1396837
SANDISK CORP                                         -0.1396837
Sangoma Technologies Corp                            -0.1396837
SANMINA CORP                                         -0.1396837
SAP SE                                               -0.1396837
SAPIENT CORP                                         -0.1396837
SARS CORP.                                           -0.1396837
SaveDaily Inc                                        -0.1396837
SBS TECHNOLOGIES INC                                 -0.1396837
SCAN OPTICS INC                                      -0.1396837
SCANTRON CORP                                        -0.1396837
Science Applications International Corp              -0.1396837
SCIENT INC                                           -0.1396837
SCIENTIFIC ATLANTA INC                               -0.1396837
Scientific Games International, Inc.                 -0.1396837
SCIQUEST INC                                         -0.1396837
SDL INC                                              -0.1396837
SEACHANGE INTERNATIONAL INC                          -0.1396837
SECURED SERVICES INC                                 -0.1396837
SecureWorks Corp                                     -0.1396837
SEDONA CORP                                          -0.1396837
SEEC INC                                             -0.1396837
SEMICONDUCTOR COMPONENTS INDUSTRIES LLC              -0.1396837
SEMTECH CORP                                         -0.1396837
SendGrid, Inc.                                       -0.1396837
SENSORMATIC ELECTRONICS CORP                         -0.1396837
SENTINEL TECHNOLOGIES INC                            -0.1396837
SentinelOne, Inc.                                    -0.1396837
SEQUANS COMMUNICATIONS                               -0.1396837
SERENA SOFTWARE INC                                  -0.1396837
SERIESONE, INC                                       -0.1396837
ServiceMax, Inc.                                     -0.1396837
ServiceNow, Inc.                                     -0.1396837
ServiceTitan, Inc.                                   -0.1396837
SEVEN NETWORKS INC                                   -0.1396837
SharedLabs, Inc                                      -0.1396837
SharpSpring, Inc.                                    -0.1396837
SHELDAHL INC                                         -0.1396837
Shoals Technologies Group, Inc.                      -0.1396837
SHOPIFY INC.                                         -0.1396837
ShoreTel Inc                                         -0.1396837
SIERRA WIRELESS INC                                  -0.1396837
SIGMA DESIGNS INC                                    -0.1396837
SIGMATRON INTERNATIONAL INC                          -0.1396837
SILICOM LTD.                                         -0.1396837
SILICON IMAGE INC                                    -0.1396837
SILICON LABORATORIES INC.                            -0.1396837
SILICONIX INC                                        -0.1396837
SIMILARWEB LTD.                                      -0.1396837
SIMPLEX SOLUTIONS INC                                -0.1396837
SIMTEK CORP                                          -0.1396837
Simulations Plus, Inc.                               -0.1396837
SINA CORP                                            -0.1396837
SIRIUS SOFTWARE INC                                  -0.1396837
SITE TECHNOLOGIES INC                                -0.1396837
SITIME Corp                                          -0.1396837
SJ Electronics, Inc.                                 -0.1396837
SK hynix Inc.                                        -0.1396837
Skillsoft (US) Corp                                  -0.1396837
SkillSoft Ltd                                        -0.1396837
SkyWater Technology, Inc                             -0.1396837
SKYWORKS SOLUTIONS, INC.                             -0.1396837
SL INDUSTRIES INC                                    -0.1396837
Slack Technologies, Inc.                             -0.1396837
SMART MODULAR TECHNOLOGIES INC                       -0.1396837
SMART Technologies Inc.                              -0.1396837
SmartRent, Inc.                                      -0.1396837
SMARTSHEET INC                                       -0.1396837
SMITH MICRO SOFTWARE, INC.                           -0.1396837
SMTC CORP                                            -0.1396837
Snap Inc                                             -0.1396837
SNAPSHOT INC                                         -0.1396837
Snowflake Inc.                                       -0.1396837
SOCKET MOBILE, INC.                                  -0.1396837
SOFTECH INC                                          -0.1396837
SOFTWARE COM INC                                     -0.1396837
SOLAREDGE TECHNOLOGIES, INC.                         -0.1396837
SolarWinds, Inc.                                     -0.1396837
SOLERA CORP.                                         -0.1396837
SOLERA HOLDINGS, INC                                 -0.1396837
SOLITRON DEVICES INC                                 -0.1396837
SONIC FOUNDRY INC                                    -0.1396837
Sonics, Inc.                                         -0.1396837
SONNEN Corp                                          -0.1396837
SOPHEON PLC                                          -0.1396837
SOUNDTHINKING, INC.                                  -0.1396837
SOURCE PHOTONICS INC                                 -0.1396837
SOUTHERN ENERGY COMPANY, INC.                        -0.1396837
SPACE EXPLORATION TECHNOLOGIES CORP                  -0.1396837
SPACE SYSTEMS/LORAL, INC.                            -0.1396837
Spansion Inc.                                        -0.1396837
SPARTON CORP                                         -0.1396837
SPD HOLDINGS INC                                     -0.1396837
SPECTRA SYSTEMS CORP                                 -0.1396837
SPECTRALINK CORP                                     -0.1396837
SPECTRUM CONTROL INC                                 -0.1396837
SPIRE Corp                                           -0.1396837
SPLUNK INC                                           -0.1396837
SPR INC                                              -0.1396837
Sprinklr, Inc.                                       -0.1396837
Sprout Social, Inc.                                  -0.1396837
SPS COMMERCE INC                                     -0.1396837
SPYGLASS INC                                         -0.1396837
SQA INC                                              -0.1396837
Squarespace, Inc.                                    -0.1396837
SRA INTERNATIONAL, INC.                              -0.1396837
SS&C Technologies Holdings Inc                       -0.1396837
SS&C TECHNOLOGIES INC                                -0.1396837
STAC INC                                             -0.1396837
Stanley, Inc.                                        -0.1396837
STAR TECHNOLOGIES INC                                -0.1396837
STARBASE CORP                                        -0.1396837
STATS CHIPPAC, INC.                                  -0.1396837
STEC, INC.                                           -0.1396837
STEELCLOUD INC                                       -0.1396837
STEM, INC.                                           -0.1396837
STERLING SOFTWARE INC                                -0.1396837
STI GROUP INC                                        -0.1396837
STM WIRELESS INC                                     -0.1396837
STRATACOM INC                                        -0.1396837
STRATASYS INC                                        -0.1396837
STRATEGIA CORP                                       -0.1396837
STRATUS COMPUTER INC                                 -0.1396837
STRATUS TECHNOLOGIES, INC.                           -0.1396837
STREAMLINE HEALTH SOLUTIONS INC.                     -0.1396837
SuccessFactors, Inc.                                 -0.1396837
Sumo Logic, Inc.                                     -0.1396837
SUMTOTAL SYSTEMS INC                                 -0.1396837
SUN                                                  -0.1396837
SUN MICROSYSTEMS, INC.                               -0.1396837
SunEdison Semiconductor Ltd                          -0.1396837
SUNEDISON, INC.                                      -0.1396837
SunGard                                              -0.1396837
SUNPOWER CORP                                        -0.1396837
SUNQUEST INFORMATION SYSTEMS INC                     -0.1396837
Super Micro Computer, Inc.                           -0.1396837
SuperCom Ltd                                         -0.1396837
SUPERTEX INC                                         -0.1396837
Switch, Inc.                                         -0.1396837
SYBASE INC                                           -0.1396837
SYKES ENTERPRISES INC                                -0.1396837
SYMMETRICOM INC                                      -0.1396837
Synacor, Inc.                                        -0.1396837
SYNAPTICS Inc                                        -0.1396837
SYNCHRONICITY INC                                    -0.1396837
SYNCHRONOSS TECHNOLOGIES INC                         -0.1396837
SYNOPSYS INC                                         -0.1396837
SYNTECH INTERNATIONAL INC                            -0.1396837
SYNTEL INC                                           -0.1396837
Syntiant Corp.                                       -0.1396837
Sysorex, Inc.                                        -0.1396837
System1, Inc.                                        -0.1396837
SYSTEMS WEST INC                                     -0.1396837
T1V, Inc.                                            -0.1396837
Tableau Software Inc                                 -0.1396837
TAKE TWO INTERACTIVE SOFTWARE INC                    -0.1396837
TALX CORP                                            -0.1396837
TAMPA BAY CORP                                       -0.1396837
TANGOE INC                                           -0.1396837
TCI INTERNATIONAL INC                                -0.1396837
TCI SOLUTIONS INC                                    -0.1396837
TCSI CORP                                            -0.1396837
TDK CORP                                             -0.1396837
TECHFORCE CORP                                       -0.1396837
TECHNICAL COMMUNICATIONS CORP                        -0.1396837
TECHNOLOGY SOLUTIONS COMPANY                         -0.1396837
Techpoint, Inc.                                      -0.1396837
TechSoup Global                                      -0.1396837
TECHWELL INC                                         -0.1396837
TEKELEC                                              -0.1396837
TEKNOWLEDGE CORP                                     -0.1396837
Tekumo, Inc.                                         -0.1396837
TEL INSTRUMENT ELECTRONICS CORP                      -0.1396837
TELECT INC                                           -0.1396837
TELEDATA COMMUNICATIONS LTD                          -0.1396837
Teledyne FLIR, LLC                                   -0.1396837
TELEDYNE INC                                         -0.1396837
TELEDYNE TECHNOLOGIES INC                            -0.1396837
TELEMETRIX INC                                       -0.1396837
Telenav, Inc.                                        -0.1396837
TELLABS INC                                          -0.1396837
TELOS CORP                                           -0.1396837
TELULAR CORP                                         -0.1396837
TELVUE CORP                                          -0.1396837
Tempus AI, Inc.                                      -0.1396837
TESSERA INC                                          -0.1396837
TESSERA TECHNOLOGIES INC                             -0.1396837
TEXAS INSTRUMENTS INC                                -0.1396837
Textura Corp                                         -0.1396837
THQ INC                                              -0.1396837
TIBCO SOFTWARE INC                                   -0.1396837
TIE COMMUNICATIONS INC                               -0.1396837
TigerLogic CORP                                      -0.1396837
TIGO ENERGY, INC.                                    -0.1396837
Titan Environmental Solutions Inc.                   -0.1396837
Titanium Group LTD                                   -0.1396837
TOMAX CORP                                           -0.1396837
TOROTEL INC                                          -0.1396837
TOSHIBA CORP                                         -0.1396837
TOWER SEMICONDUCTOR LTD                              -0.1396837
TOYO Co., Ltd                                        -0.1396837
Track Group, Inc.                                    -0.1396837
Trade Desk, Inc.                                     -0.1396837
TRANSACT TECHNOLOGIES INC                            -0.1396837
TransparentBusiness, Inc.                            -0.1396837
Transphorm, Inc.                                     -0.1396837
TREEV INC                                            -0.1396837
TREND MICRO INC                                      -0.1396837
TRIAD SYSTEMS CORP                                   -0.1396837
TRIDEX CORP                                          -0.1396837
Triller Corp.                                        -0.1396837
TRIMAX CORP                                          -0.1396837
Trina Solar LTD                                      -0.1396837
TRINITY WORKS INC                                    -0.1396837
TripAdvisor, Inc.                                    -0.1396837
TRIPOS INC                                           -0.1396837
TRIPWIRE INC                                         -0.1396837
TRIQUINT SEMICONDUCTOR INC                           -0.1396837
TROY GROUP INC                                       -0.1396837
TruBridge, Inc.                                      -0.1396837
TrueCar, Inc.                                        -0.1396837
TRUEVISION INC                                       -0.1396837
Trustwave Holdings, Inc.                             -0.1396837
TSR INC                                              -0.1396837
TSX CORP                                             -0.1396837
TTM TECHNOLOGIES INC                                 -0.1396837
TUBEMOGUL INC                                        -0.1396837
Turtle Beach Corp                                    -0.1396837
TVI CORP                                             -0.1396837
TWILIO INC                                           -0.1396837
TWITTER, INC.                                        -0.1396837
TYCOM LTD                                            -0.1396837
TYLER TECHNOLOGIES INC                               -0.1396837
UAV Corp                                             -0.1396837
Ubiquiti Inc.                                        -0.1396837
UGS Corp.                                            -0.1396837
UiPath, Inc.                                         -0.1396837
ULTIMATE SOFTWARE GROUP INC                          -0.1396837
Ultra Clean Holdings, Inc.                           -0.1396837
UNISON SOFTWARE INC                                  -0.1396837
UNISYS CORP                                          -0.1396837
United American Corp                                 -0.1396837
UNITED ONLINE INC                                    -0.1396837
UNITED SYSTEMS TECHNOLOGY INC                        -0.1396837
Unity Software Inc.                                  -0.1396837
Updater Inc.                                         -0.1396837
Upland Software, Inc.                                -0.1396837
UQM TECHNOLOGIES INC                                 -0.1396837
USCS INTERNATIONAL INC                               -0.1396837
UserTesting, Inc.                                    -0.1396837
USWEB CORP                                           -0.1396837
Valens Semiconductor Ltd.                            -0.1396837
Vangent, Inc.                                        -0.1396837
Varex Imaging Corp                                   -0.1396837
VARONIS SYSTEMS INC                                  -0.1396837
VASCO CORP                                           -0.1396837
Vecima Networks Inc.                                 -0.1396837
VECTr SYSTEMS INC                                    -0.1396837
VEEA INC.                                            -0.1396837
VEEVA SYSTEMS INC                                    -0.1396837
Veradigm Inc.                                        -0.1396837
VERIDIAN CORP                                        -0.1396837
VERIFONE INC                                         -0.1396837
VERIFONE SYSTEMS, INC.                               -0.1396837
Verigy Ltd.                                          -0.1396837
VERINT SYSTEMS INC                                   -0.1396837
VERITAS SOFTWARE CORP                                -0.1396837
VERSANT CORP                                         -0.1396837
VERSATA INC                                          -0.1396837
VERSATILITY INC                                      -0.1396837
VERSO TECHNOLOGIES INC                               -0.1396837
Vertex, Inc.                                         -0.1396837
Vertical Communications, Inc.                        -0.1396837
Via Transportation, Inc.                             -0.1396837
Viant Technology Inc.                                -0.1396837
VIASYSTEMS GROUP INC                                 -0.1396837
VIASYSTEMS INC                                       -0.1396837
VIAVI SOLUTIONS INC.                                 -0.1396837
VICOR CORP                                           -0.1396837
VICTOR TECHNOLOGIES INC                              -0.1396837
VIDEO DISPLAY CORP                                   -0.1396837
VIEWSONIC CORP                                       -0.1396837
VIGNETTE CORP                                        -0.1396837
Vimeo, Inc.                                          -0.1396837
Vincera, Inc.                                        -0.1396837
Violin Memory Inc                                    -0.1396837
VIQ Solutions Inc.                                   -0.1396837
VIRTUSA CORP                                         -0.1396837
VISHAY INTERTECHNOLOGY INC                           -0.1396837
Vishay Precision Group, Inc.                         -0.1396837
VISIO CORP                                           -0.1396837
VITAL IMAGES INC                                     -0.1396837
VITRIA TECHNOLOGY INC                                -0.1396837
Vivid Learning Systems, Inc.                         -0.1396837
Vivint Smart Home, Inc.                              -0.1396837
VMWARE LLC                                           -0.1396837
VMX INC                                              -0.1396837
VNG Ltd                                              -0.1396837
VOCERA COMMUNICATIONS, INC.                          -0.1396837
Vocus, Inc.                                          -0.1396837
Voltaire Ltd.                                        -0.1396837
VOLTERRA SEMICONDUCTOR CORP                          -0.1396837
VOTERITE, INC.                                       -0.1396837
VOXWARE INC                                          -0.1396837
VTEX                                                 -0.1396837
Vuzix Corp                                           -0.1396837
WalkMe Ltd.                                          -0.1396837
WATCHGUARD TECHNOLOGIES INC                          -0.1396837
WatchGuard, Inc.                                     -0.1396837
WAVE SYSTEMS CORP                                    -0.1396837
Waverly Labs Inc                                     -0.1396837
WEARABLE HEALTH SOLUTIONS, INC.                      -0.1396837
Weave Communications, Inc.                           -0.1396837
WEB.COM GROUP, INC.                                  -0.1396837
WEBMD CORP                                           -0.1396837
WEBTRENDS CORP                                       -0.1396837
WESTERN DIGITAL CORP                                 -0.1396837
WESTERN DIGITAL TECHNOLOGIES INC                     -0.1396837
Where Food Comes From, Inc.                          -0.1396837
WIDEPOINT CORP                                       -0.1396837
WIND RIVER SYSTEMS INC                               -0.1396837
WINK COMMUNICATIONS INC                              -0.1396837
WIPRO LTD                                            -0.1396837
WIRELESS INC                                         -0.1396837
WIRELESS TELECOM GROUP INC                           -0.1396837
WITH, INC.                                           -0.1396837
WM TECHNOLOGY, INC.                                  -0.1396837
WOLFSPEED, INC.                                      -0.1396837
WORKIVA INC                                          -0.1396837
WORLDWIDE TECHNOLOGIES INC                           -0.1396837
Xactly Corp                                          -0.1396837
XEROX CORP                                           -0.1396837
XILINX INC                                           -0.1396837
Xperi Corp                                           -0.1396837
XPLORE TECHNOLOGIES CORP                             -0.1396837
XRS Corp                                             -0.1396837
XTERA COMMUNICATIONS, INC.                           -0.1396837
YODLEE INC                                           -0.1396837
Zedge, Inc.                                          -0.1396837
Zerto, Ltd.                                          -0.1396837
ZI CORP                                              -0.1396837
ZILOG INC                                            -0.1396837
ZING TECHNOLOGIES INC                                -0.1396837
ZIPRECRUITER, INC.                                   -0.1396837
Zoom Communications, Inc.                            -0.1396837
ZoomInfo Technologies Inc.                           -0.1396837
ZOOSK, INC                                           -0.1396837
Zscaler, Inc.                                        -0.1396837
zSpace, Inc.                                         -0.1396837
ZUORA INC                                            -0.1396837
                                            mean_dyn_cfscore_zipcode_cycle_wo_i
@ROAD, INC                                                            0.5420517
2U, LLC                                                               0.5420517
3AM TECHNOLOGIES INC                                                  0.5420517
3COM CORP                                                             0.5420517
3D SYSTEMS CORP                                                       0.5420517
3FORCES INC.                                                          0.5420517
724 SOLUTIONS INC                                                     0.5420517
A10 Networks, Inc.                                                    0.5420517
Ability Inc.                                                          0.5420517
ABOUT, INC.                                                           0.5420517
ABSOLUTE ENTERTAINMENT INC                                            0.5420517
ABSOLUTE SOFTWARE CORP                                                0.5420517
Acacia Communications, Inc.                                           0.5420517
ACCELRYS, INC.                                                        0.5420517
ACCESS CORP                                                           0.5420517
ACI WORLDWIDE, INC.                                                   0.5420517
ACME PACKET INC                                                       0.5420517
ACT MANUFACTURING INC                                                 0.5420517
ACT NETWORKS INC                                                      0.5420517
ACTIVE NETWORK INC                                                    0.5420517
ACTIVECARE, INC.                                                      0.5420517
Activision Blizzard, Inc.                                             0.5420517
ACTUATE CORP                                                          0.5420517
ADAM INC                                                              0.5420517
ADAPTIVE INSIGHTS INC                                                 0.5420517
ADAPTIVE SOLUTIONS INC                                                0.5420517
ADESTO TECHNOLOGIES Corp                                              0.5420517
ADOBE INC.                                                            0.5420517
ADVA INTERNATIONAL INC                                                0.5420517
ADVANCE CIRCUITS INC                                                  0.5420517
ADVANCED COMMUNICATION SYSTEMS INC                                    0.5420517
ADVANCED ENERGY INDUSTRIES INC                                        0.5420517
ADVANCED MEDIA INC                                                    0.5420517
ADVANCED MICRO DEVICES INC                                            0.5420517
ADVANCED PHOTONIX INC                                                 0.5420517
Advanced Resources Group, Ltd.                                        0.5420517
ADVANTEST CORP                                                        0.5420517
Aegis Identity Software, Inc.                                         0.5420517
AEL INDUSTRIES INC                                                    0.5420517
AEROFLEX INC                                                          0.5420517
AEROHIVE NETWORKS, INC                                                0.5420517
AESP INC                                                              0.5420517
Afiniti, Ltd.                                                         0.5420517
AFN INC                                                               0.5420517
AFR Inc.                                                              0.5420517
AGILE SOFTWARE CORP                                                   0.5420517
AGILYSYS INC                                                          0.5420517
Agora, Inc.                                                           0.5420517
AIRGAIN INC                                                           0.5420517
AIRSPAN NETWORKS INC                                                  0.5420517
AIRVANA INC                                                           0.5420517
Alarum Technologies Ltd.                                              0.5420517
ALCATEL LUCENT                                                        0.5420517
ALCATEL-LUCENT USA INC.                                               0.5420517
Alfi, Inc.                                                            0.5420517
Alien Technology Corp                                                 0.5420517
ALKAMI TECHNOLOGY, INC.                                               0.5420517
ALLAIRE CORP                                                          0.5420517
ALLEGRO MICROSYSTEMS, INC.                                            0.5420517
Allot Ltd.                                                            0.5420517
ALPHA & OMEGA SEMICONDUCTOR Ltd                                       0.5420517
Alphabet Inc.                                                         0.5420517
ALPS ALPINE CO., LTD.                                                 0.5420517
ALR TECHNOLOGIES INC.                                                 0.5420517
Altair Engineering Inc.                                               0.5420517
ALTERA CORP                                                           0.5420517
Alteryx, Inc.                                                         0.5420517
ALTIGEN COMMUNICATIONS INC                                            0.5420517
ALTRON INC                                                            0.5420517
AM COMMUNICATIONS INC                                                 0.5420517
AMANDA CO INC                                                         0.5420517
AMBARELLA INC                                                         0.5420517
Amber Road, Inc.                                                      0.5420517
Ambiq Micro, Inc.                                                     0.5420517
